product,kubun,package,days,judgment,limit,note
太田胃散A〈錠剤〉,対象外,45錠,5.0,小容量,5,"太田漢方胃腸薬Ⅱ：【ストレス性の胃痛・神経性胃炎】に、自律神経を整える安中散加茯苓（粉末タイプ）。
 太田漢方胃腸薬Ⅱ〈錠剤〉：【ストレス性の胃痛・神経性胃炎】に、自律神経を整える安中散加茯苓（錠剤タイプ）。
 太田胃散：【飲みすぎ・胸やけ】に、7種の健胃生薬と胃酸を抑える制酸剤を配合した伝統の「粉末」総合胃腸薬。
 太田胃散A〈錠剤〉：【脂っこい食事の胃もたれ・食べすぎ】に、脂肪やたん白質を強力に分解する4種の消化酵素配合の「錠剤」。
 太田胃散NEXT：【急な食べすぎ・飲みすぎむかつき】に、コンビニでも手軽に買える指定医薬部外品の「粉末」健胃清涼剤。
 太田胃散NEXT錠：【急な食べすぎ・飲みすぎむかつき】に、コンビニでも手軽に買える指定医薬部外品の「小粒錠剤」。
 太田胃散S：【様々な胃の不調・胸やけ】に、味や香りをマイルドにしてより飲みやすくした「缶入り（粉末）」総合胃腸薬。"
太田胃散A〈錠剤〉,対象外,120錠,13.3,大容量,5,"太田漢方胃腸薬Ⅱ：【ストレス性の胃痛・神経性胃炎】に、自律神経を整える安中散加茯苓（粉末タイプ）。
 太田漢方胃腸薬Ⅱ〈錠剤〉：【ストレス性の胃痛・神経性胃炎】に、自律神経を整える安中散加茯苓（錠剤タイプ）。
 太田胃散：【飲みすぎ・胸やけ】に、7種の健胃生薬と胃酸を抑える制酸剤を配合した伝統の「粉末」総合胃腸薬。
 太田胃散A〈錠剤〉：【脂っこい食事の胃もたれ・食べすぎ】に、脂肪やたん白質を強力に分解する4種の消化酵素配合の「錠剤」。
 太田胃散NEXT：【急な食べすぎ・飲みすぎむかつき】に、コンビニでも手軽に買える指定医薬部外品の「粉末」健胃清涼剤。
 太田胃散NEXT錠：【急な食べすぎ・飲みすぎむかつき】に、コンビニでも手軽に買える指定医薬部外品の「小粒錠剤」。
 太田胃散S：【様々な胃の不調・胸やけ】に、味や香りをマイルドにしてより飲みやすくした「缶入り（粉末）」総合胃腸薬。"
太田胃散A〈錠剤〉,対象外,300錠,33.3,大容量,5,"太田漢方胃腸薬Ⅱ：【ストレス性の胃痛・神経性胃炎】に、自律神経を整える安中散加茯苓（粉末タイプ）。
 太田漢方胃腸薬Ⅱ〈錠剤〉：【ストレス性の胃痛・神経性胃炎】に、自律神経を整える安中散加茯苓（錠剤タイプ）。
 太田胃散：【飲みすぎ・胸やけ】に、7種の健胃生薬と胃酸を抑える制酸剤を配合した伝統の「粉末」総合胃腸薬。
 太田胃散A〈錠剤〉：【脂っこい食事の胃もたれ・食べすぎ】に、脂肪やたん白質を強力に分解する4種の消化酵素配合の「錠剤」。
 太田胃散NEXT：【急な食べすぎ・飲みすぎむかつき】に、コンビニでも手軽に買える指定医薬部外品の「粉末」健胃清涼剤。
 太田胃散NEXT錠：【急な食べすぎ・飲みすぎむかつき】に、コンビニでも手軽に買える指定医薬部外品の「小粒錠剤」。
 太田胃散S：【様々な胃の不調・胸やけ】に、味や香りをマイルドにしてより飲みやすくした「缶入り（粉末）」総合胃腸薬。"
コリホグス,△,12錠,3.0,小容量,5,【指定対象外】だが、中枢抑制作用を持つため、アルコールやベンゾ系との併用･ODで重篤な呼吸抑制・昏睡を招く
コリホグス,△,16錠,4.0,小容量,5,【指定対象外】だが、中枢抑制作用を持つため、アルコールやベンゾ系との併用･ODで重篤な呼吸抑制・昏睡を招く
ウット,〇,9錠,3.0,小容量,5,【激しい興奮・自律神経の乱れ】に、尿素系2種を高濃度で配合した、中枢を強力に抑える精神鎮静薬。極めて精神依存の標的になりやすい
ウット,〇,12錠,4.0,小容量,5,【激しい興奮・自律神経の乱れ】に、尿素系2種を高濃度で配合した、中枢を強力に抑える精神鎮静薬。極めて精神依存の標的になりやすい
ベンザブロックLプレミアムDX錠,〇,30錠,3.3,小容量,7,-
ベンザブロックLプレミアムDX錠,〇,45錠,5.0,小容量,7,-
ベンザブロックS,〇,18錠,3.0,小容量,7,-
ベンザブロックS,〇,30錠,5.0,小容量,7,-
ベンザブロックTプレミアムDX,〇,12錠,2.0,小容量,7,-
ベンザブロックTプレミアムDX,〇,24錠,4.0,小容量,7,-
新ルルAゴールドDXα,＊〇,30錠,3.3,小容量,7,"""「ルルと名のつくかぜ薬（内用）は、ドロップも含めてすべて指定濫用該当（1人1個制限）」
## ルルアタック シリーズ（症状特化型・15歳以上）
* ルルアタックCX：【つらいせき・たん】に、去たん成分L-カルボシステインと抗炎症イブプロフェンを配合。
* ルルアタックCXプレミアム：【つらいせき・たん】に、イブプロフェンを1日最大量600mgまで増量し抗炎症を強化。
* ルルアタックEX：【つらいのどの痛み・熱】に、炎症を抑えるトラネキサム酸とイブプロフェンをダブル配合。
* ルルアタックEXプレミアム：【つらいのどの痛み・熱】に、イブプロフェンを1日最大量600mgまで増量し鎮痛を強化。
* ルルアタックFXa：【つらい発熱・さむけ】に、熱を下げるアセトアミノフェンやショウキキョウエキスなどを配合。
* ルルアタックNX：【つらい鼻水・鼻づまり】に、鼻水を止めるヨウ化イソプロパミドやd-クロルフェニラミンを配合。
* ルルアタックNXプレミアム：【つらい鼻水・鼻づまり】に、さらに喉の腫れを抑えるトラネキサム酸を新配合。
## ルル・新ルル シリーズ（定番総合かぜ薬・家族向けなど）
* ルルゴールド細粒：【家族の総合かぜ薬】に、のどの痛みや鼻水に効くアセトアミノフェンや生薬を配合（1歳から服用可の粉末）。
* 新ルル-A錠s：【家族の総合かぜ薬】に、のどの痛み、鼻水、せきに効く成分をバランスよく配合した伝統の白の錠剤。
* 新ルルAゴールドDXα：【つらい鼻水・のどの痛み】に、持続性抗ヒスタミン成分クレマチシンやトラネキサム酸をプラス。コデインをDXMに変えて呼吸リスクを回避したため、「7歳から服用可能」（ただしベラドンナの抗コリン毒性の制限により7歳未満は不可）
* 新ルルS細粒：【家族の総合かぜ薬】に、アセトアミノフェンなどを配合した、溶けやすく苦みのないサッと飲める粉末。"""
新ルルAゴールドDXα,＊〇,60錠,6.7,小容量,7,"""「ルルと名のつくかぜ薬（内用）は、ドロップも含めてすべて指定濫用該当（1人1個制限）」
## ルルアタック シリーズ（症状特化型・15歳以上）
* ルルアタックCX：【つらいせき・たん】に、去たん成分L-カルボシステインと抗炎症イブプロフェンを配合。
* ルルアタックCXプレミアム：【つらいせき・たん】に、イブプロフェンを1日最大量600mgまで増量し抗炎症を強化。
* ルルアタックEX：【つらいのどの痛み・熱】に、炎症を抑えるトラネキサム酸とイブプロフェンをダブル配合。
* ルルアタックEXプレミアム：【つらいのどの痛み・熱】に、イブプロフェンを1日最大量600mgまで増量し鎮痛を強化。
* ルルアタックFXa：【つらい発熱・さむけ】に、熱を下げるアセトアミノフェンやショウキキョウエキスなどを配合。
* ルルアタックNX：【つらい鼻水・鼻づまり】に、鼻水を止めるヨウ化イソプロパミドやd-クロルフェニラミンを配合。
* ルルアタックNXプレミアム：【つらい鼻水・鼻づまり】に、さらに喉の腫れを抑えるトラネキサム酸を新配合。
## ルル・新ルル シリーズ（定番総合かぜ薬・家族向けなど）
* ルルゴールド細粒：【家族の総合かぜ薬】に、のどの痛みや鼻水に効くアセトアミノフェンや生薬を配合（1歳から服用可の粉末）。
* 新ルル-A錠s：【家族の総合かぜ薬】に、のどの痛み、鼻水、せきに効く成分をバランスよく配合した伝統の白の錠剤。
* 新ルルAゴールドDXα：【つらい鼻水・のどの痛み】に、持続性抗ヒスタミン成分クレマチシンやトラネキサム酸をプラス。コデインをDXMに変えて呼吸リスクを回避したため、「7歳から服用可能」（ただしベラドンナの抗コリン毒性の制限により7歳未満は不可）
* 新ルルS細粒：【家族の総合かぜ薬】に、アセトアミノフェンなどを配合した、溶けやすく苦みのないサッと飲める粉末。"""
新ルルAゴールドDXα,＊〇,90錠,10.0,大容量,7,"""「ルルと名のつくかぜ薬（内用）は、ドロップも含めてすべて指定濫用該当（1人1個制限）」
## ルルアタック シリーズ（症状特化型・15歳以上）
* ルルアタックCX：【つらいせき・たん】に、去たん成分L-カルボシステインと抗炎症イブプロフェンを配合。
* ルルアタックCXプレミアム：【つらいせき・たん】に、イブプロフェンを1日最大量600mgまで増量し抗炎症を強化。
* ルルアタックEX：【つらいのどの痛み・熱】に、炎症を抑えるトラネキサム酸とイブプロフェンをダブル配合。
* ルルアタックEXプレミアム：【つらいのどの痛み・熱】に、イブプロフェンを1日最大量600mgまで増量し鎮痛を強化。
* ルルアタックFXa：【つらい発熱・さむけ】に、熱を下げるアセトアミノフェンやショウキキョウエキスなどを配合。
* ルルアタックNX：【つらい鼻水・鼻づまり】に、鼻水を止めるヨウ化イソプロパミドやd-クロルフェニラミンを配合。
* ルルアタックNXプレミアム：【つらい鼻水・鼻づまり】に、さらに喉の腫れを抑えるトラネキサム酸を新配合。
## ルル・新ルル シリーズ（定番総合かぜ薬・家族向けなど）
* ルルゴールド細粒：【家族の総合かぜ薬】に、のどの痛みや鼻水に効くアセトアミノフェンや生薬を配合（1歳から服用可の粉末）。
* 新ルル-A錠s：【家族の総合かぜ薬】に、のどの痛み、鼻水、せきに効く成分をバランスよく配合した伝統の白の錠剤。
* 新ルルAゴールドDXα：【つらい鼻水・のどの痛み】に、持続性抗ヒスタミン成分クレマチシンやトラネキサム酸をプラス。コデインをDXMに変えて呼吸リスクを回避したため、「7歳から服用可能」（ただしベラドンナの抗コリン毒性の制限により7歳未満は不可）
* 新ルルS細粒：【家族の総合かぜ薬】に、アセトアミノフェンなどを配合した、溶けやすく苦みのないサッと飲める粉末。"""
新ブロン液エース,〇,120mL,2.0,小容量,5,グアイフェネシン：【中枢作用なし・マイルド】気道分泌を促し痰を薄める安全性の高い去痰薬。ただし、過量摂取時には強烈な催吐作用（急性胃粘膜刺激による嘔吐）を発現するため、コデイン乱用時の「致死量吸着を物理的に阻害する因子」となる
ナロン錠,＊〇,24錠,4.0,小容量,7,"古い製品のみブロモバレリル尿素配合で指定濫用の対象。
* ナロン錠：【8歳からの発熱・頭痛】に、アセトアミノフェンと依存性のあるブロモvaleryl尿素を配合（指定濫用該当）。
* ナロン顆粒：【1歳からの発熱・頭痛】に、アセトアミノフェンと依存性のあるブロモvaleryl尿素を配合（指定濫用該当）。
* ナロンm：【7歳からの発熱・頭痛】に、眠くならず胃に優しいアセトアミノフェンとビタミン類を配合。
* ナロンエースT：【大人のつらい頭痛・生理痛】に、イブプロフェンとエテンザミドをダブル配合した現在の主流。
* ナロンエースプレミアム：【繰り返すつらい頭痛】に、エテンザミドを増量し胃粘膜保護成分をプラスした最上位版。 """
ナロン錠,＊〇,48錠,8.0,大容量,7,"古い製品のみブロモバレリル尿素配合で指定濫用の対象。
* ナロン錠：【8歳からの発熱・頭痛】に、アセトアミノフェンと依存性のあるブロモvaleryl尿素を配合（指定濫用該当）。
* ナロン顆粒：【1歳からの発熱・頭痛】に、アセトアミノフェンと依存性のあるブロモvaleryl尿素を配合（指定濫用該当）。
* ナロンm：【7歳からの発熱・頭痛】に、眠くならず胃に優しいアセトアミノフェンとビタミン類を配合。
* ナロンエースT：【大人のつらい頭痛・生理痛】に、イブプロフェンとエテンザミドをダブル配合した現在の主流。
* ナロンエースプレミアム：【繰り返すつらい頭痛】に、エテンザミドを増量し胃粘膜保護成分をプラスした最上位版。 """
ノーシン,対象外,20包,6.7,小容量,7,"""ノーシンシリーズはすべて対象外
* オトナノーシンピュア：【生理痛・頭痛】に、IB＋アリルイソプロピルアセチル尿素に胃粘膜保護成分の乾燥水酸化アルミニウムゲルをプラス。
* ノーシンピュア：【女性の生理痛・頭痛】に、速効性のIB＋アリルイソプロピルアセチル尿素＋無水カフェインの定番構成。
* 小中学生用ノーシンピュア：【7〜14歳の生理痛・頭痛】に、子どもに安全なAAPを単一の鎮痛成分として配合した小粒錠。
* ノーシン：【大人の頭痛・発熱】に、素早く溶けて胃に優しい伝統の「ACE処方（AAP＋エテンザミド＋無水カフェイン）」の散剤。
* ノーシン錠：【大人の頭痛・発熱】に、伝統の「ACE処方（AAP＋エテンザミド＋無水カフェイン）」をそのまま錠剤にしたタイプ。
* ノーシンホワイト錠：【頭痛・生理痛】に、眠くなる成分を一切入れず、すっきり飲めるシャープな「ACE処方」の白の錠剤。
* ノーシンアイ頭痛薬：【つらい頭痛】に、IBとAAPをダブル配合し、アリルイソプロピルアセチル尿素や無水カフェインを排除した眠気・カフェインゼロ処方。
* ノーシンアセトアミノフェン錠(A)：【7歳からの頭痛・発熱】に、眠くなる成分やカフェインを一切含まない胃に優しいAAP単味剤。"""
ノーシン,対象外,40包,13.3,大容量,7,"""ノーシンシリーズはすべて対象外
* オトナノーシンピュア：【生理痛・頭痛】に、IB＋アリルイソプロピルアセチル尿素に胃粘膜保護成分の乾燥水酸化アルミニウムゲルをプラス。
* ノーシンピュア：【女性の生理痛・頭痛】に、速効性のIB＋アリルイソプロピルアセチル尿素＋無水カフェインの定番構成。
* 小中学生用ノーシンピュア：【7〜14歳の生理痛・頭痛】に、子どもに安全なAAPを単一の鎮痛成分として配合した小粒錠。
* ノーシン：【大人の頭痛・発熱】に、素早く溶けて胃に優しい伝統の「ACE処方（AAP＋エテンザミド＋無水カフェイン）」の散剤。
* ノーシン錠：【大人の頭痛・発熱】に、伝統の「ACE処方（AAP＋エテンザミド＋無水カフェイン）」をそのまま錠剤にしたタイプ。
* ノーシンホワイト錠：【頭痛・生理痛】に、眠くなる成分を一切入れず、すっきり飲めるシャープな「ACE処方」の白の錠剤。
* ノーシンアイ頭痛薬：【つらい頭痛】に、IBとAAPをダブル配合し、アリルイソプロピルアセチル尿素や無水カフェインを排除した眠気・カフェインゼロ処方。
* ノーシンアセトアミノフェン錠(A)：【7歳からの頭痛・発熱】に、眠くなる成分やカフェインを一切含まない胃に優しいAAP単味剤。"""
ノーシン,対象外,100包,33.3,大容量,7,"""ノーシンシリーズはすべて対象外
* オトナノーシンピュア：【生理痛・頭痛】に、IB＋アリルイソプロピルアセチル尿素に胃粘膜保護成分の乾燥水酸化アルミニウムゲルをプラス。
* ノーシンピュア：【女性の生理痛・頭痛】に、速効性のIB＋アリルイソプロピルアセチル尿素＋無水カフェインの定番構成。
* 小中学生用ノーシンピュア：【7〜14歳の生理痛・頭痛】に、子どもに安全なAAPを単一の鎮痛成分として配合した小粒錠。
* ノーシン：【大人の頭痛・発熱】に、素早く溶けて胃に優しい伝統の「ACE処方（AAP＋エテンザミド＋無水カフェイン）」の散剤。
* ノーシン錠：【大人の頭痛・発熱】に、伝統の「ACE処方（AAP＋エテンザミド＋無水カフェイン）」をそのまま錠剤にしたタイプ。
* ノーシンホワイト錠：【頭痛・生理痛】に、眠くなる成分を一切入れず、すっきり飲めるシャープな「ACE処方」の白の錠剤。
* ノーシンアイ頭痛薬：【つらい頭痛】に、IBとAAPをダブル配合し、アリルイソプロピルアセチル尿素や無水カフェインを排除した眠気・カフェインゼロ処方。
* ノーシンアセトアミノフェン錠(A)：【7歳からの頭痛・発熱】に、眠くなる成分やカフェインを一切含まない胃に優しいAAP単味剤。"""
ドリエル,〇,6錠,3.0,小容量,5,"ドリエル：【一時的な不眠】に、ジフェンヒドラミン塩酸塩を配合した、量を調節しやすいベーシックな「錠剤」（1回2錠）。
ドリエルEX：【一時的な不眠】に、ジフェンヒドラミン塩酸塩をラベンダー香料等とともに閉じ込めたソフト「カプセル」（1回1カプセル）。"
ドリエル,〇,12錠,6.0,大容量,5,"ドリエル：【一時的な不眠】に、ジフェンヒドラミン塩酸塩を配合した、量を調節しやすいベーシックな「錠剤」（1回2錠）。
ドリエルEX：【一時的な不眠】に、ジフェンヒドラミン塩酸塩をラベンダー香料等とともに閉じ込めたソフト「カプセル」（1回1カプセル）。"
レスタミンコーワ糖衣錠,〇,80錠,8.9,大容量,5,-
レスタミンコーワ糖衣錠,〇,120錠,13.3,大容量,5,-
イブA錠,対象外,12錠,2.0,小容量,7,"""イブシリーズはすべて対象外
* イブA錠：【定番の生理痛・頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素＋無水カフェインを配合。
* イブA錠EX：【生理痛が特につらい時】に、主成分のIBを1回量200mgまで増量したイブAの上位版。
* イブ〈糖衣錠〉：【小粒で苦くない】中身は「イブA錠」と全く同じで、表面を甘い膜で包んで飲みやすくしたタイプ。
* イブクイック頭痛薬：【速攻の頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素に胃を守り吸収を速める酸化Mgをプラス。
* イブクイック頭痛薬DX：【つらい頭痛に最速】に、IBを1回量200mgに増量し、さらに酸化Mgを配合した速攻・高効果版。
* イブスリーショットプレミアム：【3大痛（頭・生理・肩こり）】に、IBとAAPをダブル配合（各195mg）し、胃を守る酸化Mgを足した眠くならない最新処方。"""
イブA錠,対象外,24錠,4.0,小容量,7,"""イブシリーズはすべて対象外
* イブA錠：【定番の生理痛・頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素＋無水カフェインを配合。
* イブA錠EX：【生理痛が特につらい時】に、主成分のIBを1回量200mgまで増量したイブAの上位版。
* イブ〈糖衣錠〉：【小粒で苦くない】中身は「イブA錠」と全く同じで、表面を甘い膜で包んで飲みやすくしたタイプ。
* イブクイック頭痛薬：【速攻の頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素に胃を守り吸収を速める酸化Mgをプラス。
* イブクイック頭痛薬DX：【つらい頭痛に最速】に、IBを1回量200mgに増量し、さらに酸化Mgを配合した速攻・高効果版。
* イブスリーショットプレミアム：【3大痛（頭・生理・肩こり）】に、IBとAAPをダブル配合（各195mg）し、胃を守る酸化Mgを足した眠くならない最新処方。"""
イブA錠,対象外,36錠,6.0,小容量,7,"""イブシリーズはすべて対象外
* イブA錠：【定番の生理痛・頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素＋無水カフェインを配合。
* イブA錠EX：【生理痛が特につらい時】に、主成分のIBを1回量200mgまで増量したイブAの上位版。
* イブ〈糖衣錠〉：【小粒で苦くない】中身は「イブA錠」と全く同じで、表面を甘い膜で包んで飲みやすくしたタイプ。
* イブクイック頭痛薬：【速攻の頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素に胃を守り吸収を速める酸化Mgをプラス。
* イブクイック頭痛薬DX：【つらい頭痛に最速】に、IBを1回量200mgに増量し、さらに酸化Mgを配合した速攻・高効果版。
* イブスリーショットプレミアム：【3大痛（頭・生理・肩こり）】に、IBとAAPをダブル配合（各195mg）し、胃を守る酸化Mgを足した眠くならない最新処方。"""
イブA錠,対象外,48錠,8.0,大容量,7,"""イブシリーズはすべて対象外
* イブA錠：【定番の生理痛・頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素＋無水カフェインを配合。
* イブA錠EX：【生理痛が特につらい時】に、主成分のIBを1回量200mgまで増量したイブAの上位版。
* イブ〈糖衣錠〉：【小粒で苦くない】中身は「イブA錠」と全く同じで、表面を甘い膜で包んで飲みやすくしたタイプ。
* イブクイック頭痛薬：【速攻の頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素に胃を守り吸収を速める酸化Mgをプラス。
* イブクイック頭痛薬DX：【つらい頭痛に最速】に、IBを1回量200mgに増量し、さらに酸化Mgを配合した速攻・高効果版。
* イブスリーショットプレミアム：【3大痛（頭・生理・肩こり）】に、IBとAAPをダブル配合（各195mg）し、胃を守る酸化Mgを足した眠くならない最新処方。"""
イブA錠,対象外,60錠,10.0,大容量,7,"""イブシリーズはすべて対象外
* イブA錠：【定番の生理痛・頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素＋無水カフェインを配合。
* イブA錠EX：【生理痛が特につらい時】に、主成分のIBを1回量200mgまで増量したイブAの上位版。
* イブ〈糖衣錠〉：【小粒で苦くない】中身は「イブA錠」と全く同じで、表面を甘い膜で包んで飲みやすくしたタイプ。
* イブクイック頭痛薬：【速攻の頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素に胃を守り吸収を速める酸化Mgをプラス。
* イブクイック頭痛薬DX：【つらい頭痛に最速】に、IBを1回量200mgに増量し、さらに酸化Mgを配合した速攻・高効果版。
* イブスリーショットプレミアム：【3大痛（頭・生理・肩こり）】に、IBとAAPをダブル配合（各195mg）し、胃を守る酸化Mgを足した眠くならない最新処方。"""
イブA錠,対象外,90錠,15.0,大容量,7,"""イブシリーズはすべて対象外
* イブA錠：【定番の生理痛・頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素＋無水カフェインを配合。
* イブA錠EX：【生理痛が特につらい時】に、主成分のIBを1回量200mgまで増量したイブAの上位版。
* イブ〈糖衣錠〉：【小粒で苦くない】中身は「イブA錠」と全く同じで、表面を甘い膜で包んで飲みやすくしたタイプ。
* イブクイック頭痛薬：【速攻の頭痛】に、IB150mg＋アリルイソプロピルアセチル尿素に胃を守り吸収を速める酸化Mgをプラス。
* イブクイック頭痛薬DX：【つらい頭痛に最速】に、IBを1回量200mgに増量し、さらに酸化Mgを配合した速攻・高効果版。
* イブスリーショットプレミアム：【3大痛（頭・生理・肩こり）】に、IBとAAPをダブル配合（各195mg）し、胃を守る酸化Mgを足した眠くならない最新処方。"""
